     #MC step,      Etot,     sig666,   sig655,   sig555,   sig544,   sig533,   sig532,   sig522,   sig521,   sig444,   sig433,   sig422,   sig421,   sig411,   sig400,   sig322,   sig311,   sig300,   sig211,   sig200,   sig100,   sig000
        63,     -140.660873, 0.000000, 0.000000, 0.079646, 0.084071, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.146018, 0.101770, 0.030973, 0.004425, 0.000000, 0.296460, 0.176991, 0.004425, 0.017699, 0.053097, 0.004425, 0.000000
        64,     -140.637115, 0.004444, 0.000000, 0.031111, 0.093333, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.146667, 0.088889, 0.084444, 0.013333, 0.000000, 0.195556, 0.195556, 0.017778, 0.057778, 0.071111, 0.000000, 0.000000
        65,     -141.405777, 0.000000, 0.000000, 0.013699, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.205479, 0.269406, 0.000000, 0.000000, 0.054795, 0.228310, 0.000000, 0.123288, 0.091324, 0.013699, 0.000000
        66,     -139.966034, 0.000000, 0.000000, 0.115207, 0.087558, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.161290, 0.073733, 0.013825, 0.000000, 0.000000, 0.299539, 0.156682, 0.018433, 0.036866, 0.036866, 0.000000, 0.000000
        67,     -140.169739, 0.000000, 0.000000, 0.081081, 0.067568, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.175676, 0.063063, 0.031532, 0.009009, 0.000000, 0.274775, 0.171171, 0.013514, 0.040541, 0.067568, 0.004505, 0.000000
        68,     -141.405930, 0.000000, 0.000000, 0.013699, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.205479, 0.269406, 0.000000, 0.000000, 0.054795, 0.228310, 0.000000, 0.123288, 0.091324, 0.013699, 0.000000
        69,     -140.512100, 0.000000, 0.000000, 0.098214, 0.066964, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.142857, 0.071429, 0.022321, 0.017857, 0.000000, 0.209821, 0.200893, 0.040179, 0.022321, 0.107143, 0.000000, 0.000000
        70,     -140.966721, 0.004505, 0.000000, 0.049550, 0.049550, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.076577, 0.166667, 0.036036, 0.000000, 0.000000, 0.216216, 0.247748, 0.027027, 0.022523, 0.103604, 0.000000, 0.000000
        71,     -141.405807, 0.000000, 0.000000, 0.013699, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.205479, 0.269406, 0.000000, 0.000000, 0.054795, 0.228310, 0.000000, 0.123288, 0.091324, 0.013699, 0.000000
        72,     -141.813004, 0.000000, 0.000000, 0.059701, 0.094527, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.189055, 0.074627, 0.054726, 0.009950, 0.000000, 0.159204, 0.134328, 0.019900, 0.094527, 0.109453, 0.000000, 0.000000
        73,     -141.813004, 0.000000, 0.000000, 0.054299, 0.067873, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.117647, 0.131222, 0.040724, 0.018100, 0.000000, 0.217195, 0.199095, 0.027149, 0.063348, 0.058824, 0.004525, 0.000000
